Reference,Value,Qty,Note,Description
A1,Arduino_Nano_RP2040_Connect,1,,"Arduino Nano board based on the RP2040 microcontroller with a dual-core 133 MHz ARM Cortex-M0+ processor, 264 kB SRAM, and up to 16 MB flash memory. Operates at 3.3V, with 5V Micro USB input and 4-20V VIN. Features Wi-Fi®, Bluetooth® LE, digital and analog pins, and supports SPI, I2C, UART, and PIO. Includes a 6-axis IMU, RGB LED, microphone, and cryptographic chip for secure communication."
C7 C8 C10 C12,0.1uF,4,,
C1 C2 C3 C5 C9 C11,10uF,6,,Unpolarized capacitor
C4 C6,"330uF, 16V",2,Maximum height is 10mm,
D3 D4 D5,LED,3,,Light emitting diode
D2,SS34,1,RS - 808-0433,"onsemi 40V 3A, Schottky Diode"
DLED1 DLED2 FLED1 FLED2,TLCR5800,4,,Light emitting diode
FET1 FET2,PMV45EN2,2,,"N-Channel MOSFET, 5.1 A, 30 V, 3-Pin SOT-23"
GROUND1 GROUND2 J3 J4 J5 J6,GROUND,6,"0.1"" pitch, polarised, any type","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/) Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)"
J1 J2,CONN_06SILK_FEMALE_PTH,2,"6 pin header, 0.1"", male",
LDPD1 LFPD1 RDPD1 RFPD1,BPW96B,4,,Photodiode
M1,Left MOTOR,1,commercial mounts need bushing for screws,
M2,Right MOTOR,1,commercial mounts need bushing for screws,
R3 R4,100K,2,,Resistor
R5 R7,10R,2,,Resistor
R19,180K,1,,Resistor
R17 R18,1K,2,,Resistor
R21,1K0,1,,Resistor
R1 R2 R12 R14,220R,4,,Resistor
R20,68K,1,,Resistor
R9 R10 R11 R13,R,4,,Resistor
R6 R8,R56,2,,Resistor
SW1,TACT_SW,1,,TACT switch 6mm 4.5mm
TR1 TR2,BC849,2,,"0.1A Ic, 30V Vce, NPN Transistor, SOT-23"
U1,DFRobot_DC_Controller,1,,
